Boundary number,Yr_pass,Day_orbit,Hour,Minute,Second,Orbit_number,X_MSO (km),Y_MSO (km),Z_MSO (km)
2,2011,100,3,39,18.9,46,4082.212,-1282.021,2222.363
3,2011,100,3,53,44.8,46,1871.354,-336.608,2955.126
4,2011,100,3,58,14.6,46,1038.111,-9.624,2999.734
5,2011,100,5,0,4.6,46,-4097.794,909.286,-5243.479
6,2011,100,5,1,22.3,46,-4081.396,882.613,-5400.817
7,2011,100,5,39,34.5,46,-3085.861,0.616,-9229.74
8,2011,100,5,45,20.1,46,-2884.854,-137.492,-9691.008
1,2011,100,15,42,40.2,47,4170.372,-1466.195,2153.38
2,2011,100,15,43,5.3,47,4117.925,-1440.403,2182.594
3,2011,100,15,53,43.6,47,2597.027,-720.745,2807.278
4,2011,100,15,55,44.2,47,2269.187,-572.729,2886.263
5,2011,100,17,2,52.3,47,-4089.902,1066.037,-5041.047
6,2011,100,17,3,53.7,47,-4079.329,1044.668,-5170.189
7,2011,100,17,52,53.8,47,-2782.327,-129.364,-9932.514
8,2011,100,17,57,59.8,47,-2599.168,-256.649,-10308.354
1,2011,101,3,46,23.8,48,4202.313,-1629.482,2110.201
2,2011,101,3,46,25,48,4200.284,-1628.403,2111.389
3,2011,101,4,1,9.3,48,2075.74,-554.451,2922.318
4,2011,101,4,1,18.9,48,2047.569,-540.959,2927.312
5,2011,101,5,16,16.8,48,-3938.63,988.5,-6118.889
6,2011,101,5,21,30.4,48,-3837.231,865.283,-6696.499
7,2011,101,5,51,20.7,48,-2993.07,108.676,-9469.33
8,2011,101,6,4,33.4,48,-2534.56,-234.619,-10460.494
1,2011,101,15,47,9.5,49,4568.25,-1990.547,1846.1
2,2011,101,15,51,13.9,49,4095.946,-1718.947,2145.046
3,2011,101,15,59,16.3,49,3030.489,-1127.898,2653.668
4,2011,101,16,1,21,49,2721.078,-961.736,2759.635
5,2011,101,17,23,1.8,49,-3870.572,1048.096,-6382.568
6,2011,101,17,23,12.1,49,-3867.471,1044.07,-6401.051
7,2011,101,17,56,59.4,49,-2953.601,163.865,-9566.624
8,2011,101,18,8,18.5,49,-2568.799,-141.9,-10413.89
1,2011,102,3,52,26.9,50,4405.416,-2057.598,1917.787
2,2011,102,3,54,0.8,50,4228.64,-1948.777,2033.172
3,2011,102,4,4,59.1,50,2800.061,-1101.265,2725.458
4,2011,102,4,7,46.8,50,2374.903,-859.731,2851.475
5,2011,102,5,26,45.5,50,-3854.618,1177.398,-6306.346
6,2011,102,5,31,38,50,-3761.917,1055.221,-6838.334
7,2011,102,6,17,46.1,50,-2401.842,-208.529,-10764.443
8,2011,102,6,18,34.5,50,-2373.807,-230.923,-10818.34
1,2011,102,15,55,54,51,4442.387,-2247.111,1850.768
2,2011,102,15,59,10.1,51,4080.882,-2009.908,2091.481
3,2011,102,16,6,6,51,3219.428,-1460.293,2549.312
4,2011,102,16,6,37.7,51,3147.34,-1415.272,2580.453
5,2011,102,17,29,57.2,51,-3842.471,1318.038,-6171.718
6,2011,102,17,34,24.5,51,-3765.624,1205.739,-6663.711
7,2011,102,18,18,11.5,51,-2546.981,-23.241,-10489.867
8,2011,102,18,22,40.5,51,-2395.01,-153.225,-10798.091
1,2011,103,4,11,11.1,52,3080.066,-1486.212,2592.583
2,2011,103,4,14,14.9,52,2654.002,-1206.481,2754.679
3,2011,103,4,19,20.5,52,1880.16,-712.415,2948.459
4,2011,103,4,21,51.4,52,1465.709,-455.36,2998.154
5,2011,103,5,29,32.1,52,-3869.921,1544.811,-5612.98
6,2011,103,5,31,13,52,-3850.16,1504.595,-5811.85
7,2011,103,6,15,26.8,52,-2780.492,263.157,-9971.999
8,2011,103,6,18,43.7,52,-2676.243,165.078,-10214.787
1,2011,103,16,8,38.3,53,3876.697,-2174.293,2147.129
2,2011,103,16,9,40.7,53,3757.444,-2087.27,2220.57
3,2011,103,16,18,44.8,53,2598.572,-1265.754,2762.575
4,2011,103,16,20,16.2,53,2380.073,-1115.683,2830.654
5,2011,103,17,36,29.9,53,-3799.031,1591.141,-5916.057
6,2011,103,17,39,35.4,53,-3756.908,1513.078,-6267.582
7,2011,103,18,9,42.6,53,-3075.146,651.352,-9173.595
8,2011,103,18,12,18.9,53,-3000.824,572.42,-9386.024
1,2011,104,4,13,23.3,54,3770.738,-2246.805,2175.863
2,2011,104,4,13,46.5,54,3728.048,-2213.795,2202.644
3,2011,104,4,23,2.8,54,2569.706,-1342.323,2760.896
4,2011,104,4,23,41.7,54,2478.914,-1275.951,2791.223
5,2011,104,5,31,33.7,54,-3827.086,1913.421,-4779.212
6,2011,104,5,36,39,54,-3798.875,1800.434,-5413.795
7,2011,104,6,5,31.7,54,-3284.231,1001.187,-8434.117
8,2011,104,6,5,55.9,54,-3274.289,989.049,-8470.018
1,2011,104,16,10,2.3,55,4473.674,-2988.822,1601.276
2,2011,104,16,15,49.9,55,3909.005,-2515.437,2040.641
3,2011,104,16,24,39.9,55,2891.52,-1693.556,2619.139
4,2011,104,16,26,1.2,55,2716.744,-1556.221,2692.342
5,2011,104,17,42,16.2,55,-3741.053,1876.039,-5562.756
6,2011,104,17,47,24,55,-3686.485,1746.299,-6160.44
7,2011,104,18,30,15.1,55,-2715.401,445.27,-10093.624
8,2011,104,18,30,19,55,-2713.461,443.11,-10098.552
1,2011,105,4,15,10.1,56,4319.648,-3046.302,1662.9
2,2011,105,4,17,53.4,56,4065.886,-2820.557,1870.888
3,2011,105,4,33,5.6,56,2310.076,-1331.252,2823.626
4,2011,105,4,34,24.3,56,2129.306,-1184.786,2876.077
5,2011,105,5,49,34.6,56,-3664.822,1904.98,-5909.018
6,2011,105,5,50,1.7,56,-3660.143,1893.364,-5961.059
7,2011,105,6,30,23.9,56,-2824.011,660.709,-9774.386
8,2011,105,6,32,12.9,56,-2774.026,600.69,-9913.019
1,2011,105,16,19,49.8,57,4206.993,-3134.997,1688.044
2,2011,105,16,22,50.9,57,3929.213,-2874.569,1917.752
3,2011,105,16,34,51.4,57,2610.801,-1685.443,2700.706
4,2011,105,16,37,20.7,57,2286.197,-1403.959,2820.034
5,2011,105,17,49,17.6,57,-3650.242,2120.85,-5355.319
6,2011,105,17,55,53.3,57,-3595.175,1954.016,-6129.935
7,2011,105,18,34,0.8,57,-2829.196,764.059,-9715.599
8,2011,105,18,34,7,57,-2826.571,760.692,-9723.348
1,2011,106,4,33,22,58,3234.498,-2382.635,2354.494
2,2011,106,4,34,8,58,3151.575,-2303.764,2404.48
3,2011,106,4,41,38,58,2255.707,-1471.619,2817.876
4,2011,106,4,44,20,58,1892.851,-1144.798,2920.62
5,2011,106,5,43,37,58,-3592.076,2426.359,-4058.774
6,2011,106,5,45,25,58,-3601.096,2394.911,-4301.773
7,2011,106,6,29,49,58,-3020.061,1133.016,-9022.929
8,2011,106,6,30,14,58,-3010.348,1118.991,-9057.928
1,2011,106,16,35,30,59,3394.551,-2694.822,2204.879
2,2011,106,16,36,14,59,3321.253,-2620.422,2255.54
3,2011,106,16,47,47,59,1981.232,-1307.211,2890.554
4,2011,106,16,52,22,59,1342.92,-712.289,3004.336
5,2011,106,17,50,47,59,-3541.98,2472.68,-4434.912
6,2011,106,17,51,22,59,-3543.622,2461.47,-4511.725
7,2011,106,18,35,8,59,-2971.03,1182.156,-9102.258
8,2011,106,18,36,8,59,-2948.327,1147.763,-9185.254
1,2011,107,4,37,1,60,3585.255,-3067.567,2002.775
2,2011,107,4,37,13,60,3567.176,-3047.916,2017.444
3,2011,107,4,41,53,60,3120.243,-2568.023,2344.036
4,2011,107,4,48,54,60,2347.002,-1763.495,2753.306
5,2011,107,6,5,48,60,-3459.505,2324.421,-5762.378
6,2011,107,6,11,10,60,-3415.138,2178.094,-6374.788
7,2011,107,6,47,40,60,-2757.376,973.372,-9757.44
8,2011,107,6,59,48,60,-2458.622,536.086,-10641.629
1,2011,107,16,37,36,61,3818.185,-3524.59,1719.481
2,2011,107,16,37,55,61,3792.679,-3494.832,1743.894
3,2011,107,16,51,26,61,2505.677,-2046.536,2660.612
4,2011,107,16,54,18,61,2174.709,-1689.907,2803.272
5,2011,107,18,8,0,61,-3409.942,2470.935,-5505.853
6,2011,107,18,14,25,61,-3369.114,2299.943,-6251.009
7,2011,107,18,54,20,61,-2681.673,963.285,-9933.264
8,2011,107,19,6,24,61,-2391.731,519.361,-10793.993
1,2011,108,4,42,49,62,3655.653,-3537.651,1787.107
2,2011,108,4,43,28,62,3603.671,-3474.003,1836.626
3,2011,108,4,54,44,62,2562.313,-2238.161,2603.094
4,2011,108,4,59,50,62,1989.009,-1587.593,2854.587
5,2011,108,6,5,22,62,-3348.07,2718.456,-4632.798
6,2011,108,6,10,21,62,-3351.356,2609.188,-5262.191
7,2011,108,6,52,48,62,-2785.05,1251.234,-9476.015
8,2011,108,7,4,25,62,-2529.772,821.454,-10353.841
1,2011,108,16,45,43,63,3671.041,-3771.561,1676.375
2,2011,108,16,46,9,63,3638.688,-3729.464,1709.977
3,2011,108,17,1,12,63,2279.37,-2032.845,2718.65
4,2011,108,17,4,7,63,1953.261,-1645.249,2852.725
5,2011,108,18,11,8,63,-3282.412,2776.488,-4815.046
6,2011,108,18,16,43,63,-3280.87,2647.149,-5506.918
7,2011,108,19,24,20,63,-2150.903,292.246,-11389.104
8,2011,108,20,4,15,63,-1128.727,-1241.31,-13440.435
1,2011,109,4,45,11,64,3902.86,-4323.778,1289.956
2,2011,109,4,45,21,64,3892.146,-4308.71,1303.412
3,2011,109,5,1,5,64,2666.746,-2654.827,2464.307
4,2011,109,5,4,10,64,2366.751,-2268.825,2646.292
5,2011,109,6,11,8,64,-3189.844,2943.963,-4245.806
6,2011,109,6,17,29,64,-3215.265,2817.58,-5067.949
7,2011,109,7,8,31,64,-2584.893,1131.19,-10017.201
8,2011,109,7,8,39,64,-2582.191,1126.097,-10027.15
1,2011,109,16,51,49,65,3644.643,-4206.004,1474.272
2,2011,109,16,52,5,65,3627.209,-4180.392,1495.461
3,2011,109,17,6,36,65,2489.119,-2573.355,2537.033
4,2011,109,17,7,39,65,2389.971,-2438.911,2598.664
5,2011,109,18,13,45,65,-3099.808,3052.949,-4011.741
6,2011,109,18,22,39,65,-3144.7,2881.313,-5170
7,2011,109,18,57,56,65,-2822.434,1764.022,-8819.122
8,2011,109,19,1,24,65,-2765.426,1635.337,-9112.723
1,2011,110,5,0,19,66,3261.53,-3874.628,1799.667
